Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,51,00:00:00.850,0.85,0.266666666667
2,67,00:00:01.116,1.11666666667,1.88333333333
3,180,00:00:03.000,3.0,3.38333333333
4,383,00:00:06.383,6.38333333333,3.0
5,563,00:00:09.383,9.38333333333,1.85
6,674,00:00:11.233,11.2333333333,1.61666666667
7,771,00:00:12.850,12.85,3.68333333333
8,992,00:00:16.533,16.5333333333,0.283333333333
9,1009,00:00:16.816,16.8166666667,0.45
10,1036,00:00:17.266,17.2666666667,0.25
11,1051,00:00:17.516,17.5166666667,1.6
12,1147,00:00:19.116,19.1166666667,0.283333333333
13,1164,00:00:19.400,19.4,0.25
14,1179,00:00:19.650,19.65,0.25
15,1194,00:00:19.900,19.9,2.13333333333
16,1322,00:00:22.033,22.0333333333,1.85
17,1433,00:00:23.883,23.8833333333,1.56666666667
18,1527,00:00:25.450,25.45,1.36666666667
19,1609,00:00:26.816,26.8166666667,6.96666666667
20,2027,00:00:33.783,33.7833333333,5.91666666667
21,2382,00:00:39.700,39.7,8.35
22,2883,00:00:48.050,48.05,4.7
23,3165,00:00:52.750,52.75,6.35
24,3546,00:00:59.100,59.1,2.5
25,3696,00:01:01.600,61.6,2.06666666667
26,3820,00:01:03.666,63.6666666667,2.15
27,3949,00:01:05.816,65.8166666667,1.53333333333
28,4041,00:01:07.350,67.35,0.35
29,4062,00:01:07.700,67.7,0.25
30,4077,00:01:07.950,67.95,1.96666666667
31,4195,00:01:09.916,69.9166666667,0.333333333333
32,4215,00:01:10.250,70.25,5.06666666667
33,4519,00:01:15.316,75.3166666667,3.6
34,4735,00:01:18.916,78.9166666667,0.25
35,4750,00:01:19.166,79.1666666667,0.8
36,4798,00:01:19.966,79.9666666667,10.4166666667
37,5423,00:01:30.383,90.3833333333,8.6
38,5939,00:01:38.983,98.9833333333,2.41666666667
39,6084,00:01:41.400,101.4,0.25
40,6099,00:01:41.650,101.65,0.25
41,6114,00:01:41.900,101.9,0.25
42,6129,00:01:42.150,102.15,0.266666666667
43,6145,00:01:42.416,102.416666667,4.65
44,6424,00:01:47.066,107.066666667,7.45
45,6871,00:01:54.516,114.516666667,8.28333333333
46,7368,00:02:02.800,122.8,12.7333333333
47,8132,00:02:15.533,135.533333333,1.41666666667
48,8217,00:02:16.950,136.95,2.06666666667
49,8341,00:02:19.016,139.016666667,0.416666666667
50,8366,00:02:19.433,139.433333333,9.05
51,8909,00:02:28.483,148.483333333,6.41666666667
52,9294,00:02:34.900,154.9,9.16666666667
53,9844,00:02:44.066,164.066666667,3.01666666667
54,10025,00:02:47.083,167.083333333,2.31666666667
55,10164,00:02:49.400,169.4,3.6
56,10380,00:02:53.000,173.0,7.11666666667
57,10807,00:03:00.116,180.116666667,1.71666666667
58,10910,00:03:01.833,181.833333333,4.43333333333
59,11176,00:03:06.266,186.266666667,1.48333333333
60,11265,00:03:07.750,187.75,0.4
61,11289,00:03:08.150,188.15,1.36666666667
62,11371,00:03:09.516,189.516666667,7.06666666667
63,11795,00:03:16.583,196.583333333,4.03333333333
64,12037,00:03:20.616,200.616666667,2.58333333333
65,12192,00:03:23.200,203.2,12.2666666667
66,12928,00:03:35.466,215.466666667,3.2
67,13120,00:03:38.666,218.666666667,1.83333333333
68,13230,00:03:40.500,220.5,4.8
69,13518,00:03:45.300,225.3,1.96666666667
70,13636,00:03:47.266,227.266666667,0.3
71,13654,00:03:47.566,227.566666667,0.266666666667
