Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,79,00:00:01.317,1.31748720564,0.250155798538
2,94,00:00:01.567,1.56764300417,1.91786112213
3,209,00:00:03.485,3.4855041263,3.38544180689
4,412,00:00:06.870,6.87094593319,3.0685777954
5,596,00:00:09.939,9.93952372859,1.767767643
6,702,00:00:11.707,11.7072913716,1.61767416388
7,799,00:00:13.324,13.3249655355,3.6689517119
8,1019,00:00:16.993,16.9939172474,0.250155798538
9,1034,00:00:17.244,17.2440730459,0.500311597077
10,1064,00:00:17.744,17.744384643,0.266832851774
11,1080,00:00:18.011,18.0112174948,1.61767416388
12,1177,00:00:19.628,19.6288916586,0.250155798538
13,1192,00:00:19.879,19.8790474572,0.250155798538
14,1207,00:00:20.129,20.1292032557,0.250155798538
15,1222,00:00:20.379,20.3793590543,2.16801692067
16,1352,00:00:22.547,22.5473759749,2.08463165449
17,1477,00:00:24.632,24.6320076294,1.96789228183
18,1595,00:00:26.599,26.5998999112,7.22116405114
19,2028,00:00:33.821,33.8210639624,5.93703095198
20,2384,00:00:39.758,39.7580949144,9.17237927974
21,2934,00:00:48.930,48.9304741941,2.50155798538
22,3084,00:00:51.432,51.4320321795,2.03460049478
23,3206,00:00:53.466,53.4666326743,2.20137102714
24,3338,00:00:55.668,55.6680037014,0.733790342379
25,3382,00:00:56.401,56.4017940438,0.333541064718
26,3402,00:00:56.735,56.7353351085,0.28350990501
27,3419,00:00:57.018,57.0188450135,1.66770532359
28,3519,00:00:58.686,58.6865503371,8.97225464091
29,4057,00:01:07.658,67.658804978,1.38419541858
30,4140,00:01:09.043,69.0430003966,1.35084131211
31,4221,00:01:10.393,70.3938417087,11.8407077975
32,4931,00:01:22.234,82.2345495062,0.266832851774
33,4947,00:01:22.501,82.5013823579,8.63871357619
34,5465,00:01:31.140,91.1400959341,8.35520367118
35,5966,00:01:39.495,99.4952996053,2.43484977244
36,6112,00:01:41.930,101.930149378,0.250155798538
37,6127,00:01:42.180,102.180305176,0.250155798538
38,6142,00:01:42.430,102.430460975,0.28350990501
39,6159,00:01:42.713,102.71397088,0.250155798538
40,6174,00:01:42.964,102.964126678,4.63622079958
41,6452,00:01:47.600,107.600347478,0.300186958246
42,6470,00:01:47.900,107.900534436,7.07107057202
43,6894,00:01:54.971,114.971605008,13.575121334
