Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,230,00:00:03.836,3.83652761256,1.33444438698
2,310,00:00:05.170,5.17097199953,2.20183323851
3,442,00:00:07.372,7.37280523804,2.51876378042
4,593,00:00:09.891,9.89156901846,2.13511101916
5,721,00:00:12.026,12.0266800376,3.36947207711
6,923,00:00:15.396,15.3961521147,3.0024998707
7,1103,00:00:18.398,18.3986519854,1.85154158693
8,1214,00:00:20.250,20.2501935724,1.61801381921
9,1311,00:00:21.868,21.8682073916,3.65304150935
10,1530,00:00:25.521,25.5212489009,0.266888877395
11,1546,00:00:25.788,25.7881377783,0.483736090279
12,1575,00:00:26.271,26.2718738686,0.250208322558
13,1590,00:00:26.522,26.5220821912,1.58465270953
14,1685,00:00:28.106,28.1067349007,0.266888877395
15,1701,00:00:28.373,28.3736237781,0.250208322558
16,1716,00:00:28.623,28.6238321006,0.283569432232
17,1733,00:00:28.907,28.9074015329,2.13511101916
18,1861,00:00:31.042,31.042512552,1.83486103209
19,1971,00:00:32.877,32.8773735841,1.58465270953
20,2066,00:00:34.462,34.4620262937,1.36780549665
21,2148,00:00:35.829,35.8298317903,6.95579136711
22,2565,00:00:42.785,42.7856231574,5.95495807688
23,2922,00:00:48.740,48.7405812343,8.3402774186
24,3422,00:00:57.080,57.0808586529,4.73727757377
25,3706,00:01:01.818,61.8181362267,6.3219302833
26,4085,00:01:08.140,68.14006651,2.48540267074
27,4234,00:01:10.625,70.6254691807,2.05170824498
28,4357,00:01:12.677,72.6771774257,2.16847212884
29,4487,00:01:14.845,74.8456495545,1.53461104502
30,4579,00:01:16.380,76.3802605995,0.333611096744
31,4599,00:01:16.713,76.7138716963,0.266888877395
32,4615,00:01:16.980,76.9807605737,1.98498602563
33,4734,00:01:18.965,78.9657465993,0.333611096744
34,4754,00:01:19.299,79.2993576961,5.08756922535
35,5059,00:01:24.386,84.3869269214,3.58631929
36,5274,00:01:27.973,87.9732462114,0.250208322558
37,5289,00:01:28.223,88.223454534,0.783986077348
38,5336,00:01:29.007,89.0074406113,10.4587078829
39,5963,00:01:39.466,99.4661484942,8.57380518632
40,6477,00:01:48.039,108.039953681,2.43536100623
41,6623,00:01:50.475,110.475314687,0.250208322558
42,6638,00:01:50.725,110.725523009,0.266888877395
43,6654,00:01:50.992,110.992411887,0.250208322558
44,6669,00:01:51.242,111.242620209,0.266888877395
45,6685,00:01:51.509,111.509509087,4.63719424474
46,6963,00:01:56.146,116.146703331,6.33861083814
47,7343,00:02:02.485,122.48531417,6.1884858446
48,7714,00:02:08.673,128.673800014,2.88573598684
49,7887,00:02:11.559,131.559536001,1.75145825791
50,7992,00:02:13.310,133.310994259,1.66805548372
51,8092,00:02:14.979,134.979049743,8.75729128953
52,8617,00:02:23.736,143.736341032,6.02168029623
53,8978,00:02:29.758,149.758021328,0.783986077348
54,9025,00:02:30.542,150.542007406,2.08506935465
55,9150,00:02:32.627,152.62707676,6.10508307042
56,9516,00:02:38.732,158.732159831,1.25104161279
57,9591,00:02:39.983,159.983201444,6.78898581874
58,9998,00:02:46.772,166.772187262,7.00583303162
59,10418,00:02:53.778,173.778020294,3.38615263195
60,10621,00:02:57.164,177.164172926,2.93577765135
61,10797,00:03:00.099,180.099950577,3.0024998707
62,10977,00:03:03.102,183.102450448,1.21768050312
63,11050,00:03:04.320,184.320130951,1.71809714823
64,11153,00:03:06.038,186.038228099,2.25187490302
65,11288,00:03:08.290,188.290103002,2.96913876102
66,11466,00:03:11.259,191.259241763,3.13594430939
67,11654,00:03:14.395,194.395186073,8.2068329799
68,12146,00:03:22.602,202.602019053,1.68473603856
69,12247,00:03:24.286,204.286755091,2.18515268367
70,12378,00:03:26.471,206.471907775,2.61884710944
71,12535,00:03:29.090,209.090754884,2.16847212884
72,12665,00:03:31.259,211.259227013,1.46788882567
73,12753,00:03:32.727,212.727115839,3.7197637287
74,12976,00:03:36.446,216.446879568,5.48790254144
75,13305,00:03:41.934,221.934782109,5.83819419302
76,13655,00:03:47.772,227.772976302,1.81818047726
77,13764,00:03:49.591,229.591156779,1.8849026966
78,13877,00:03:51.476,231.476059476,2.88573598684
79,14050,00:03:54.361,234.361795463,4.37030536735
80,14312,00:03:58.732,238.73210083,1.71809714823
81,14415,00:04:00.450,240.450197978,2.08506935465
82,14540,00:04:02.535,242.535267333,1.434527716
83,14626,00:04:03.969,243.969795049,2.58548599977
84,14781,00:04:06.555,246.555281049,3.30274985777
85,14979,00:04:09.858,249.858030906,7.45620801223
86,15426,00:04:17.314,257.314238919,6.27188861879
87,15802,00:04:23.586,263.586127537,1.46788882567
88,15890,00:04:25.054,265.054016363,1.31776383214
89,15969,00:04:26.371,266.371780195,0.800666632186
90,16017,00:04:27.172,267.172446827,1.33444438698
91,16097,00:04:28.506,268.506891214,2.05170824498
92,16220,00:04:30.558,270.558599459,3.13594430939
93,16408,00:04:33.694,273.694543769,3.10258319972
94,16594,00:04:36.797,276.797126969,12.5270966827
95,17345,00:04:49.324,289.324223651,3.06922209005
96,17529,00:04:52.393,292.393445741,2.7356109933
