Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,95,00:00:01.587,1.58709759643,0.250594357331
2,110,00:00:01.837,1.83769195376,1.95463598718
3,227,00:00:03.792,3.79232794095,3.37467067873
4,429,00:00:07.166,7.16699861967,3.10737003091
5,615,00:00:10.274,10.2743686506,1.73745421083
6,719,00:00:12.011,12.0118228614,1.50356614399
7,809,00:00:13.515,13.5153890054,3.80903423143
8,1037,00:00:17.324,17.3244232368,0.26730064782
9,1053,00:00:17.591,17.5917238846,0.484482424174
10,1082,00:00:18.076,18.0762063088,0.250594357331
11,1097,00:00:18.326,18.3268006662,1.58709759643
12,1192,00:00:19.913,19.9138982626,0.250594357331
13,1207,00:00:20.164,20.1644926199,0.26730064782
14,1223,00:00:20.431,20.4317932677,0.250594357331
15,1238,00:00:20.682,20.6823876251,2.20523034451
16,1370,00:00:22.887,22.8876179696,2.08828631109
17,1495,00:00:24.975,24.9759042807,1.95463598718
18,1612,00:00:26.930,26.9305402679,7.25053007212
19,2046,00:00:34.181,34.18107034,5.94743941399
20,2402,00:00:40.128,40.128509754,9.18845976881
21,2952,00:00:49.316,49.3169695228,2.50594357331
22,3102,00:00:51.822,51.8229130961,2.03816743963
23,3224,00:00:53.861,53.8610805357,2.18852405403
24,3355,00:00:56.049,56.0496045897,0.751783071994
25,3400,00:00:56.801,56.8013876617,0.334125809775
26,3420,00:00:57.135,57.1355134715,0.250594357331
27,3435,00:00:57.386,57.3861078288,1.70404162985
28,3537,00:00:59.090,59.0901494587,8.97127799246
29,4074,00:01:08.061,68.0614274511,1.38662211057
30,4157,00:01:09.448,69.4480495617,1.35320952959
31,4238,00:01:10.801,70.8012590913,11.861466247
32,4948,00:01:22.662,82.6627253383,0.250594357331
33,4963,00:01:22.913,82.9133196956,8.72068363512
34,5485,00:01:31.634,91.6340033308,8.35314524437
35,5985,00:01:39.987,99.9871485751,2.42241212087
36,6130,00:01:42.409,102.409560696,0.250594357331
37,6145,00:01:42.660,102.660155053,0.250594357331
38,6160,00:01:42.910,102.910749411,0.250594357331
39,6175,00:01:43.161,103.161343768,0.250594357331
40,6190,00:01:43.411,103.411938125,4.66105504636
41,6469,00:01:48.072,108.072993172,6.69922248599
42,6870,00:01:54.772,114.772215658,19.6800101957
43,8048,00:02:14.452,134.452225853,3.00713228797
44,8228,00:02:17.459,137.459358141,4.51069843196
45,8498,00:02:21.970,141.970056573,3.02383857846
46,8679,00:02:24.993,144.993895152,3.57514616459
47,8893,00:02:28.569,148.569041316,3.14078261188
48,9081,00:02:31.709,151.709823928,6.46533441914
49,9468,00:02:38.175,158.175158347,1.53697872496
50,9560,00:02:39.712,159.712137072,0.26730064782
51,9576,00:02:39.979,159.97943772,1.21955920568
52,9649,00:02:41.198,161.198996926,0.26730064782
53,9665,00:02:41.466,161.466297574,0.601426457595
54,9701,00:02:42.067,162.067724031,0.250594357331
55,9716,00:02:42.318,162.318318389,0.250594357331
56,9731,00:02:42.568,162.568912746,0.250594357331
57,9746,00:02:42.819,162.819507103,0.250594357331
58,9761,00:02:43.070,163.070101461,0.634839038572
59,9799,00:02:43.704,163.704940499,0.250594357331
60,9814,00:02:43.955,163.955534857,0.250594357331
61,9829,00:02:44.206,164.206129214,2.42241212087
62,9974,00:02:46.628,166.628541335,2.30546808745
63,10112,00:02:48.934,168.934009422,4.04292229828
64,10354,00:02:52.976,172.97693172,1.62051017741
65,10451,00:02:54.597,174.597441898,0.985671138836
66,10510,00:02:55.583,175.583113037,3.90927197437
67,10744,00:02:59.492,179.492385011,1.16944033421
68,10814,00:03:00.661,180.661825345,3.22431406433
69,11007,00:03:03.886,183.88613941,4.47728585098
70,11275,00:03:08.363,188.363425261,11.7111096326
71,11976,00:03:20.074,200.074534893,4.71117391783
72,12258,00:03:24.785,204.785708811,9.30540380223
73,12815,00:03:34.091,214.091112613,6.06438344741
74,13178,00:03:40.155,220.155496061,6.96652313381
75,13595,00:03:47.122,227.122019194,3.45820213117
76,13802,00:03:50.580,230.580221326,9.48917299761
77,14370,00:04:00.069,240.069394323,6.74934135745
78,14774,00:04:06.818,246.818735681,1.28638436763
79,14851,00:04:08.105,248.105120048,0.26730064782
80,14867,00:04:08.372,248.372420696,0.718370491016
81,14910,00:04:09.090,249.090791187,0.26730064782
82,14926,00:04:09.358,249.358091835,3.24102035482
83,15120,00:04:12.599,252.59911219,0.26730064782
84,15136,00:04:12.866,252.866412838,0.634839038572
85,15174,00:04:13.501,253.501251876,0.250594357331
86,15189,00:04:13.751,253.751846234,0.26730064782
87,15205,00:04:14.019,254.019146881,0.250594357331
88,15220,00:04:14.269,254.269741239,0.250594357331
89,15235,00:04:14.520,254.520335596,0.250594357331
90,15250,00:04:14.770,254.770929953,0.250594357331
91,15265,00:04:15.021,255.021524311,0.250594357331
92,15280,00:04:15.272,255.272118668,0.26730064782
93,15296,00:04:15.539,255.539419316,0.26730064782
94,15312,00:04:15.806,255.806719964,0.26730064782
95,15328,00:04:16.074,256.074020611,1.28638436763
96,15405,00:04:17.360,257.360404979,0.985671138836
97,15464,00:04:18.346,258.346076118,1.7875730823
98,15571,00:04:20.133,260.1336492,1.31979694861
99,15650,00:04:21.453,261.453446149,2.15511147305
100,15779,00:04:23.608,263.608557622,1.23626549617
101,15853,00:04:24.844,264.844823118,0.250594357331
102,15868,00:04:25.095,265.095417475,0.250594357331
103,15883,00:04:25.346,265.346011833,0.250594357331
104,15898,00:04:25.596,265.59660619,0.250594357331
105,15913,00:04:25.847,265.847200547,0.250594357331
106,15928,00:04:26.097,266.097794905,0.451069843196
107,15955,00:04:26.548,266.548864748,0.484482424174
108,15984,00:04:27.033,267.033347172,0.467776133685
109,16012,00:04:27.501,267.501123306,2.38899953989
110,16155,00:04:29.890,269.890122846,2.95701341651
111,16332,00:04:32.847,272.847136262,2.8233630926
112,16501,00:04:35.670,275.670499355,2.77324422113
113,16667,00:04:38.443,278.443743576,5.68013876617
114,17007,00:04:44.123,284.123882342,10.5583755889
115,17639,00:04:54.682,294.682257931,4.36034181756
116,17900,00:04:59.042,299.042599749,3.52502729313
117,18111,00:05:02.567,302.567627042,4.27681036512
118,18367,00:05:06.844,306.844437407,7.36747410554
119,18808,00:05:14.211,314.211911512,1.95463598718
120,18925,00:05:16.166,316.1665475,4.22669149365
121,19178,00:05:20.393,320.393238993,6.2314463523
122,19551,00:05:26.624,326.624685345,16.3554583885
123,20530,00:05:42.980,342.980143734,5.68013876617
124,20870,00:05:48.660,348.6602825,13.431857553
125,21674,00:06:02.092,362.092140053,3.54173358361
126,21886,00:06:05.633,365.633873637,9.57270445005
127,22459,00:06:15.206,375.206578087,2.73983164015
128,22623,00:06:17.946,377.946409727,1.65392275839
129,22722,00:06:19.600,379.600332485,1.85439824425
130,22833,00:06:21.454,381.45473073,2.27205550647
131,22969,00:06:23.726,383.726786236,2.17181776354
132,23099,00:06:25.898,385.898604,3.27443293579
133,23295,00:06:29.173,389.173036935,3.04054486895
134,23477,00:06:32.213,392.213581804,2.72312534967
135,23640,00:06:34.936,394.936707154,1.52027243448
136,23731,00:06:36.456,396.456979588,1.83769195376
137,23841,00:06:38.294,398.294671542,3.67538390752
138,24061,00:06:41.970,401.97005545,7.05005458625
139,24483,00:06:49.020,409.020110036,9.12163460685
140,25029,00:06:58.141,418.141744643,3.89256568388
141,25262,00:07:02.034,422.034310327,6.9832294243
142,25680,00:07:09.017,429.017539751,3.34125809775
143,25880,00:07:12.358,432.358797849,3.30784551677
144,26078,00:07:15.666,435.666643365,2.221936635
145,26211,00:07:17.888,437.88858,2.8233630926
146,26380,00:07:20.711,440.711943093,2.33888066842
147,26520,00:07:23.050,443.050823762,2.221936635
148,26653,00:07:25.272,445.272760397,2.63959389722
149,26811,00:07:27.912,447.912354294,2.87348196406
150,26983,00:07:30.785,450.785836258,1.50356614399
151,27073,00:07:32.289,452.289402402,1.47015356301
152,27161,00:07:33.759,453.759555965,2.42241212087
153,27306,00:07:36.181,456.181968086,2.221936635
154,27439,00:07:38.403,458.403904721,2.12169889207
155,27566,00:07:40.525,460.525603613,2.60618131624
156,27722,00:07:43.131,463.131784929,2.80665680211
157,27890,00:07:45.938,465.938441731,1.92122340621
158,28005,00:07:47.859,467.859665137,1.43674098203
159,28091,00:07:49.296,469.296406119,1.80427937278
160,28199,00:07:51.100,471.100685492,2.57276873527
161,28353,00:07:53.673,473.673454227,1.98804856816
162,28472,00:07:55.661,475.661502796,4.47728585098
163,28740,00:08:00.138,480.138788647,2.25534921598
164,28875,00:08:02.394,482.394137863,3.65867761704
165,29094,00:08:06.052,486.05281548,2.58947502576
166,29249,00:08:08.642,488.642290505,4.37704810805
167,29511,00:08:13.019,493.019338613,2.58947502576
168,29666,00:08:15.608,495.608813639,1.26967807714
169,29742,00:08:16.878,496.878491716,1.60380388692
170,29838,00:08:18.482,498.482295603,3.00713228797
171,30018,00:08:21.489,501.489427891,3.47490842166
172,30226,00:08:24.964,504.964336313,7.417592977
173,30670,00:08:32.381,512.38192929,2.02146114914
174,30791,00:08:34.403,514.403390439,3.09066374042
175,30976,00:08:37.494,517.494054179,15.7874445119
176,31921,00:08:53.281,533.281498691,5.46295698982
177,32248,00:08:58.744,538.744455681,6.73263506696
178,32651,00:09:05.477,545.477090748,4.77799907978
