Frame Number,Timecode,delta_sat,delta_hsv_avg,delta_lum,delta_hue
1,00:00:00.087,0.0,7.558578987150416e-07,2.2675736961451247e-06,0.0
2,00:00:00.174,0.0,0.0,0.0,0.0
3,00:00:00.261,0.0,0.0,0.0,0.0
4,00:00:00.348,0.0,0.0,0.0,0.0
5,00:00:00.435,0.0,0.0,0.0,0.0
6,00:00:00.522,0.1613265306122449,0.0598380574452003,0.01270294784580499,0.00548469387755102
7,00:00:00.609,23.77003117913832,11.697509826152682,0.9775232426303855,10.344975056689343
8,00:00:00.697,12.882801587301588,7.582914021164021,0.24452097505668935,9.621419501133786
9,00:00:00.784,14.687689342403628,8.138835222978079,0.41037981859410433,9.318436507936507
10,00:00:00.871,20.324594671201815,10.91112603930461,0.6380090702947846,11.770774376417233
11,00:00:00.958,11.298654195011338,6.96497411186697,0.25252097505668936,9.34374716553288
12,00:00:01.045,8.66556859410431,4.067429138321995,0.3746848072562358,3.1620340136054423
13,00:00:01.132,23.102286848072563,13.227452758881332,0.9636615646258503,15.616409863945579
14,00:00:01.219,7.447662131519275,3.903003779289494,0.2940742630385488,3.9672749433106578
15,00:00:01.307,14.806397392290249,8.296738095238094,0.8749382086167801,9.208878684807257
16,00:00:01.394,16.828176303854875,9.797335034013607,0.47122562358276643,12.092603174603175
17,00:00:01.481,10.701874149659863,5.211555555555555,0.4187670068027211,4.514025510204082
18,00:00:01.568,19.862509070294784,10.24632350718065,1.10825,9.768211451247165
19,00:00:01.655,10.906422335600906,5.935068216175359,0.5708463718820862,6.3279359410430835
20,00:00:01.742,17.398899659863947,10.078497354497356,0.9983633786848073,11.838229024943312
21,00:00:01.829,11.903543650793651,6.413751889644747,0.643795918367347,6.693916099773243
22,00:00:01.916,10.05728514739229,5.563826908541195,0.5467080498866214,6.087487528344671
23,00:00:02.004,13.653434240362811,7.273964852607709,0.5749580498866214,7.5935022675736965
24,00:00:02.091,15.430036281179138,8.711461073318215,0.9955107709750567,9.708836167800454
25,00:00:02.178,10.48435657596372,5.887203703703705,0.6640691609977324,6.51318537414966
26,00:00:02.265,10.983150793650793,6.274133975812546,0.7257993197278911,7.113451814058957
27,00:00:02.352,19.55970351473923,11.195099962207104,1.5651439909297051,12.46045238095238
28,00:00:02.439,13.420810090702949,7.54027626606198,1.0217471655328798,8.178271541950114
29,00:00:02.526,12.843205215419502,7.190583144368859,1.0251683673469387,7.703375850340136
30,00:00:02.614,14.347159863945578,7.931198412698413,1.0025068027210884,8.443928571428572
31,00:00:02.701,15.241833900226757,8.591624338624339,1.2476887755102042,9.285350340136054
32,00:00:02.788,0.37242233560090704,0.2132037037037037,0.022485827664399095,0.24470294784580499
33,00:00:02.875,17.873474489795917,10.305729591836736,1.7880045351473923,11.255709750566893
34,00:00:02.962,5.171030612244898,3.0528609221466367,0.23356519274376417,3.7539869614512473
35,00:00:03.049,20.97937925170068,11.728384920634921,2.2029172335600906,12.002858276643991
36,00:00:03.136,15.249748299319728,8.840533635676493,1.5606592970521542,9.711193310657597
